"","experiment","fam_or_test","subject_num","block_num","test_type","fam_duration","LT","exclude","age","sex"
"1","A","test",1,1,"fam","0",25.377,FALSE,312,"F"
"2","A","test",1,3,"fam","0",12.482,FALSE,312,"F"
"3","A","fam",1,2,"fam","4",20,FALSE,312,"F"
"4","A","test",1,2,"fam","4",40.1521,FALSE,312,"F"
"5","A","fam",1,4,"nov","4",20,FALSE,312,"F"
"6","A","test",1,4,"nov","4",9.134,FALSE,312,"F"
"7","A","fam",1,5,"nov","8",23.943,FALSE,312,"F"
"8","A","test",1,5,"nov","8",8.51820000000001,FALSE,312,"F"
"9","A","fam",1,6,"fam","8",22.723,FALSE,312,"F"
"10","A","test",2,3,"fam","0",8.99000000000001,FALSE,316,"F"
"11","A","test",2,5,"fam","0",2.418,FALSE,316,"F"
"12","A","fam",2,1,"fam","4",20,FALSE,316,"F"
"13","A","test",2,1,"fam","4",28.1011,FALSE,316,"F"
"14","A","fam",2,2,"nov","4",18.28,FALSE,316,"F"
"15","A","test",2,2,"nov","4",21.6371,FALSE,316,"F"
"16","A","fam",2,4,"fam","8",34.72,FALSE,316,"F"
"17","A","test",2,4,"fam","8",5.70709999999998,FALSE,316,"F"
"18","A","fam",2,6,"nov","8",6.33900000000001,FALSE,316,"F"
"19","A","test",2,6,"nov","8",8.53550000000001,FALSE,316,"F"
"20","A","test",3,5,"fam","0",10.148,FALSE,316,"F"
"21","A","test",3,6,"fam","0",18.7936,FALSE,316,"F"
"22","A","fam",3,1,"nov","4",18.96,FALSE,316,"F"
"23","A","test",3,1,"nov","4",21.0792,FALSE,316,"F"
"24","A","fam",3,3,"fam","4",18.559,FALSE,316,"F"
"25","A","test",3,3,"fam","4",15.3697,FALSE,316,"F"
"26","A","fam",3,2,"fam","8",38.2,FALSE,316,"F"
"27","A","test",3,2,"fam","8",11.2524,FALSE,316,"F"
"28","A","fam",3,4,"nov","8",37.92,FALSE,316,"F"
"29","A","test",3,4,"nov","8",13.5712,FALSE,316,"F"
"30","A","test",5,4,"fam","0",27.9529,FALSE,275," M"
"31","A","fam",5,5,"nov","4",11.665,FALSE,275," M"
"32","A","test",5,5,"nov","4",4.025,FALSE,275," M"
"33","A","fam",5,6,"fam","4",13.96,FALSE,275," M"
"34","A","fam",5,3,"fam","8",40,FALSE,275," M"
"35","A","test",5,3,"fam","8",13.118,FALSE,275," M"
"36","A","test",6,2,"fam","0",23.3107,FALSE,275,"F"
"37","A","test",6,4,"fam","0",8.03,FALSE,275,"F"
"38","A","fam",6,5,"nov","4",3.44,FALSE,275,"F"
"39","A","fam",6,6,"fam","4",9,FALSE,275,"F"
"40","A","fam",6,1,"nov","8",35.24,FALSE,275,"F"
"41","A","test",6,1,"nov","8",44.2478,FALSE,275,"F"
"42","A","fam",6,3,"fam","8",39.48,FALSE,275,"F"
"43","A","test",6,3,"fam","8",6.39,FALSE,275,"F"
"44","A","test",7,2,"fam","0",23.6762,FALSE,320,"M"
"45","A","test",7,4,"fam","0",7.359,FALSE,320,"M"
"46","A","fam",7,5,"nov","4",15.36,FALSE,320,"M"
"47","A","test",7,5,"nov","4",9.44459999999998,FALSE,320,"M"
"48","A","fam",7,6,"fam","4",8.329,FALSE,320,"M"
"49","A","test",7,6,"fam","4",10.3107,FALSE,320,"M"
"50","A","fam",7,1,"nov","8",38,FALSE,320,"M"
"51","A","test",7,1,"nov","8",18.0645,FALSE,320,"M"
"52","A","fam",7,3,"fam","8",23.63,FALSE,320,"M"
"53","A","test",7,3,"fam","8",4.0356,FALSE,320,"M"
"54","A","test",8,1,"fam","0",35.418,FALSE,273,"M"
"55","A","test",8,2,"fam","0",24.8166000000239,FALSE,273,"M"
"56","A","fam",8,4,"fam","4",18.68,FALSE,273,"M"
"57","A","test",8,4,"fam","4",32.3438999999762,FALSE,273,"M"
"58","A","fam",8,6,"nov","4",10.421,FALSE,273,"M"
"59","A","test",8,6,"nov","4",13.5763999999762,FALSE,273,"M"
"60","A","fam",8,3,"nov","8",31.36,FALSE,273,"M"
"61","A","test",8,3,"nov","8",36.0282999999523,FALSE,273,"M"
"62","A","fam",8,5,"fam","8",35.52,FALSE,273,"M"
"63","A","test",8,5,"fam","8",42.9038000000715,FALSE,273,"M"
"64","A","test",9,1,"fam","0",9.23000000000001,FALSE,283,"M"
"65","A","test",9,3,"fam","0",11.0238000000716,FALSE,283,"M"
"66","A","fam",9,2,"fam","4",16.48,FALSE,283,"M"
"67","A","test",9,2,"fam","4",8.47920000004766,FALSE,283,"M"
