"","experiment","fam_or_test","subject_num","block_num","test_type","fam_duration","animal","LT","exclude","age","sex"
"1","A","test",1,1,"fam","0",1,25.377,FALSE,312,"F"
"2","A","test",1,3,"fam","0",10,12.482,FALSE,312,"F"
"3","A","fam",1,2,"fam","4",4,20,FALSE,312,"F"
"4","A","test",1,2,"fam","4",4,40.1521,FALSE,312,"F"
"5","A","fam",1,4,"nov","4",8,20,FALSE,312,"F"
"6","A","test",1,4,"nov","4",7,9.134,FALSE,312,"F"
"7","A","fam",1,5,"nov","8",11,23.943,FALSE,312,"F"
"8","A","test",1,5,"nov","8",12,8.51820000000001,FALSE,312,"F"
"9","A","fam",1,6,"fam","8",5,22.723,FALSE,312,"F"
"10","A","test",1,6,"fam","8",5,-8.07259999999998,TRUE,312,"F"
"11","A","test",2,3,"fam","0",5,8.99000000000001,FALSE,316,"F"
"12","A","test",2,5,"fam","0",1,2.418,FALSE,316,"F"
"13","A","fam",2,1,"fam","4",12,20,FALSE,316,"F"
"14","A","test",2,1,"fam","4",12,28.1011,FALSE,316,"F"
"15","A","fam",2,2,"nov","4",9,18.28,FALSE,316,"F"
"16","A","test",2,2,"nov","4",10,21.6371,FALSE,316,"F"
"17","A","fam",2,4,"fam","8",4,34.72,FALSE,316,"F"
"18","A","test",2,4,"fam","8",4,5.70709999999998,FALSE,316,"F"
"19","A","fam",2,6,"nov","8",8,6.33900000000001,FALSE,316,"F"
"20","A","test",2,6,"nov","8",7,8.53550000000001,FALSE,316,"F"
"21","A","test",3,5,"fam","0",11,10.148,FALSE,316,"F"
"22","A","test",3,6,"fam","0",2,18.7936,FALSE,316,"F"
"23","A","fam",3,1,"nov","4",6,18.96,FALSE,316,"F"
"24","A","test",3,1,"nov","4",5,21.0792,FALSE,316,"F"
"25","A","fam",3,3,"fam","4",7,18.559,FALSE,316,"F"
"26","A","test",3,3,"fam","4",7,15.3697,FALSE,316,"F"
"27","A","fam",3,2,"fam","8",10,38.2,FALSE,316,"F"
"28","A","test",3,2,"fam","8",10,11.2524,FALSE,316,"F"
"29","A","fam",3,4,"nov","8",3,37.92,FALSE,316,"F"
"30","A","test",3,4,"nov","8",4,13.5712,FALSE,316,"F"
"31","A","test",5,2,"fam","0",11,0.06,TRUE,275," M"
"32","A","test",5,4,"fam","0",10,27.9529,FALSE,275," M"
"33","A","fam",5,5,"nov","4",3,11.665,FALSE,275," M"
"34","A","test",5,5,"nov","4",4,4.025,FALSE,275," M"
"35","A","fam",5,6,"fam","4",5,13.96,FALSE,275," M"
"36","A","test",5,6,"fam","4",5,1.522,TRUE,275," M"
"37","A","fam",5,1,"nov","8",8,40,TRUE,275," M"
"38","A","test",5,1,"nov","8",7,-39.94,TRUE,275," M"
"39","A","fam",5,3,"fam","8",2,40,FALSE,275," M"
"40","A","test",5,3,"fam","8",2,13.118,FALSE,275," M"
"41","A","test",6,2,"fam","0",9,23.3107,FALSE,275,"F"
"42","A","test",6,4,"fam","0",4,8.03,FALSE,275,"F"
"43","A","fam",6,5,"nov","4",12,3.44,FALSE,275,"F"
"44","A","test",6,5,"nov","4",11,-2.95570000000001,TRUE,275,"F"
"45","A","fam",6,6,"fam","4",1,9,FALSE,275,"F"
"46","A","test",6,6,"fam","4",1,1.646,TRUE,275,"F"
"47","A","fam",6,1,"nov","8",8,35.24,FALSE,275,"F"
"48","A","test",6,1,"nov","8",7,44.2478,FALSE,275,"F"
"49","A","fam",6,3,"fam","8",5,39.48,FALSE,275,"F"
"50","A","test",6,3,"fam","8",5,6.39,FALSE,275,"F"
"51","A","test",7,2,"fam","0",1,23.6762,FALSE,320,"M"
"52","A","test",7,4,"fam","0",10,7.359,FALSE,320,"M"
"53","A","fam",7,5,"nov","4",11,15.36,FALSE,320,"M"
"54","A","test",7,5,"nov","4",12,9.44459999999998,FALSE,320,"M"
"55","A","fam",7,6,"fam","4",7,8.329,FALSE,320,"M"
"56","A","test",7,6,"fam","4",7,10.3107,FALSE,320,"M"
"57","A","fam",7,1,"nov","8",6,38,FALSE,320,"M"
"58","A","test",7,1,"nov","8",5,18.0645,FALSE,320,"M"
"59","A","fam",7,3,"fam","8",4,23.63,FALSE,320,"M"
"60","A","test",7,3,"fam","8",4,4.0356,FALSE,320,"M"
"61","A","test",8,1,"fam","0",5,35.418,FALSE,273,"M"
"62","A","test",8,2,"fam","0",1,24.8166000000239,FALSE,273,"M"
"63","A","fam",8,4,"fam","4",12,18.68,FALSE,273,"M"
"64","A","test",8,4,"fam","4",12,32.3438999999762,FALSE,273,"M"
"65","A","fam",8,6,"nov","4",8,10.421,FALSE,273,"M"
"66","A","test",8,6,"nov","4",7,13.5763999999762,FALSE,273,"M"
"67","A","fam",8,3,"nov","8",9,31.36,FALSE,273,"M"
"68","A","test",8,3,"nov","8",10,36.0282999999523,FALSE,273,"M"
"69","A","fam",8,5,"fam","8",4,35.52,FALSE,273,"M"
"70","A","test",8,5,"fam","8",4,42.9038000000715,FALSE,273,"M"
"71","A","test",9,1,"fam","0",9,9.23000000000001,FALSE,283,"M"
"72","A","test",9,3,"fam","0",12,11.0238000000716,FALSE,283,"M"
"73","A","fam",9,2,"fam","4",8,16.48,FALSE,283,"M"
"74","A","test",9,2,"fam","4",8,8.47920000004766,FALSE,283,"M"
"75","A","fam",9,4,"nov","4",6,14.88,FALSE,283,"M"
"76","A","test",9,4,"nov","4",5,10.439,FALSE,283,"M"
"77","A","fam",9,5,"nov","8",3,20.724,FALSE,283,"M"
"78","A","test",9,5,"nov","8",4,4.40989999997616,FALSE,283,"M"
"79","A","fam",9,6,"fam","8",1,27.8,FALSE,283,"M"
"80","A","test",9,6,"fam","8",1,4.58810000002384,FALSE,283,"M"
"81","A","test",10,3,"fam","0",2,18.1576000000238,FALSE,323,"M"
"82","A","test",10,5,"fam","0",11,7.80819999992854,TRUE,323,"M"
"83","A","fam",10,1,"fam","4",6,18.4,FALSE,323,"M"
"84","A","test",10,1,"fam","4",6,11.8637000000477,FALSE,323,"M"
"85","A","fam",10,2,"nov","4",8,19.36,TRUE,323,"M"
"86","A","test",10,2,"nov","4",7,18.0473000000716,FALSE,323,"M"
"87","A","fam",10,4,"fam","8",3,8.039,TRUE,323,"M"
"88","A","test",10,4,"fam","8",3,-4.06219999992853,TRUE,323,"M"
"89","A","fam",10,6,"nov","8",9,22.28,TRUE,323,"M"
"90","A","test",10,6,"nov","8",10,-9.443,TRUE,323,"M"
"91","A","test",11,5,"fam","0",12,16.978,FALSE,274,"F"
"92","A","test",11,6,"fam","0",1,29.3997999999523,FALSE,274,"F"
"93","A","fam",11,1,"nov","4",4,9.75,FALSE,274,"F"
"94","A","test",11,1,"nov","4",3,31.1823999999761,FALSE,274,"F"
"95","A","fam",11,3,"fam","4",7,18.001,FALSE,274,"F"
"96","A","test",11,3,"fam","4",7,-19.94,TRUE,274,"F"
"97","A","fam",11,2,"fam","8",9,38.24,FALSE,274,"F"
"98","A","test",11,2,"fam","8",9,17.2389000000953,FALSE,274,"F"
"99","A","fam",11,4,"nov","8",6,31.28,FALSE,274,"F"
"100","A","test",11,4,"nov","8",5,24.9791000000238,FALSE,274,"F"
"101","A","test",12,1,"fam","0",1,5.99,FALSE,322,"F"
"102","A","test",12,2,"fam","0",6,34.5711999998093,FALSE,322,"F"
"103","A","fam",12,4,"fam","4",8,8.926,FALSE,322,"F"
"104","A","test",12,4,"fam","4",8,7.74159999990469,FALSE,322,"F"
"105","A","fam",12,6,"nov","4",9,14.558,FALSE,322,"F"
"106","A","test",12,6,"nov","4",10,18.798,FALSE,322,"F"
"107","A","fam",12,3,"nov","8",11,21.216,FALSE,322,"F"
"108","A","test",12,3,"nov","8",12,0.296000000000001,TRUE,322,"F"
"109","A","fam",12,5,"fam","8",4,14.033,FALSE,322,"F"
"110","A","test",12,5,"fam","8",4,23.3727000000477,FALSE,322,"F"
"111","A","test",13,5,"fam","0",12,7.356,TRUE,236,"F"
"112","A","test",13,6,"fam","0",7,2.241,TRUE,236,"F"
"113","A","fam",13,1,"nov","4",6,20,TRUE,236,"F"
"114","A","test",13,1,"nov","4",5,8.54509999999404,TRUE,236,"F"
"115","A","fam",13,3,"fam","4",3,3.719,TRUE,236,"F"
"116","A","test",13,3,"fam","4",3,-19.94,TRUE,236,"F"
"117","A","fam",13,2,"fam","8",1,13.054,TRUE,236,"F"
"118","A","test",13,2,"fam","8",1,3.454,TRUE,236,"F"
"119","A","fam",13,4,"nov","8",10,19.558,TRUE,236,"F"
"120","A","test",13,4,"nov","8",9,4.798,TRUE,236,"F"
"121","A","test",14,4,"fam","0",10,17.293,FALSE,296,"M"
"122","A","test",14,6,"fam","0",1,7.352,FALSE,296,"M"
"123","A","fam",14,3,"nov","4",5,16.069,FALSE,296,"M"
"124","A","test",14,3,"nov","4",6,6.789,FALSE,296,"M"
"125","A","fam",14,5,"fam","4",8,16.56,FALSE,296,"M"
"126","A","test",14,5,"fam","4",8,2.55859999999963,FALSE,296,"M"
"127","A","fam",14,1,"fam","8",12,40,FALSE,296,"M"
"128","A","test",14,1,"fam","8",12,9.35279999999891,FALSE,296,"M"
"129","A","fam",14,2,"nov","8",3,37.56,FALSE,296,"M"
"130","A","test",14,2,"nov","8",4,25.01,FALSE,296,"M"
"131","A","test",15,5,"fam","0",7,0.06,TRUE,323,"M"
"132","A","test",15,6,"fam","0",4,8.75500000000001,FALSE,323,"M"
"133","A","fam",15,1,"nov","4",1,2.03,TRUE,323,"M"
"134","A","test",15,1,"nov","4",2,10.15,TRUE,323,"M"
"135","A","fam",15,3,"fam","4",9,7.923,TRUE,323,"M"
"136","A","test",15,3,"fam","4",9,13.843,TRUE,323,"M"
"137","A","fam",15,2,"fam","8",6,20.913,TRUE,323,"M"
"138","A","test",15,2,"fam","8",6,4.593,TRUE,323,"M"
"139","A","fam",15,4,"nov","8",12,19.21,TRUE,323,"M"
